YWLDVPAOMS,25,6,79,95,30,5,39,61,6,51,65,99,75,5,22,38,16,91,84,69,74,15,61,89,26,67,36,29,73,75,74,47,68,10,59,38,10,82,50,49,13,44,73,88,6,89,75,63,80,87,61,72,96,25,76,50,6,70,88,19,77,33,97,8,67,90,28,73,68,25,59,39,11,53,96,30,58,92,9,88,26,10,84,37,2,43,58,93,46,53,44,13,100,2,25,53,48,49,37,68,17,90,24,12,89,38,51,75,88,67,68,76,65,55,74,95,37,63,78,64,16,5,95,59,7,39,99,60,94,60,33,17,95,81,14,10,41,35,42,14,14,8,59,57,79,89,27,13,57,71,48,32,12,26,42,88,61,99,4,47,49,56,99,18,94,34,64,52,56,59,91,19,76,41,5,73,100,36,19,90,60,77,3,35,8,70,8,8,100,57,57,62,18,5,57,24,81,94,36,25,26,51,39,82,93,80,28,17,91,71,50,63,59,89,20,10,60,87,39,28,98,4,90,85,0,23,94,71,1,93,55,7,54,10,10,73,4,69,39,99,69,69,75,36,8,0,9,32,1,50,41,29,100,90,91,0,48,56,49,12,63,93,68,93,38,0,71,34,22,52,71,99,60,41,61,11,80,91,92,66,39,26,57,18,95,43,67,59,55,45,54,28,69,93,42,62,24,32,47,73,13,38,70,47,27,11,90,81,77,13,96,84,61,62,79,61,59,36,92,83,32,51,47,25,100,34,49,55,78,52,68,87,24,1,8,87,75,70,26,34,19,99,21,55,35,51,42,48,64,56,74,49,29,0,18,52,98,88,72,94,82,29,26,24,91,56,78,48,98,1,18,99,24,15,33,29,85,65,72,69,95,34,37,47,83,69,64,93,43,99,88,60,66,20,16,54,67,59,25,24,52,73,88,3,15,48,81,52,4,5,77,40,26,90,2,10,52,40,100,56,51,5,17,14,54,47,48,18,19,3,78,43,89,90,22,63,44,37,86,68,52,33,59,16,25,31,4,99,37,56,73,68,97,18,41,19,63,31,42,59,73,31,62,86,23,73,94,18,80,80,23,44,13,10,39,37,11,57,92,9,100,75,34,39,87,33,76,94,46,22,64,39,68,34,83,76,6,78,41,97,25730
YBKBWZVYUI,13,34,81,46,35,62,64,30,80,87,100,97,79,9,26,80,69,51,93,91,35,89,99,7,70,52,95,59,45,12,56,8,76,37,53,86,28,61,91,64,63,83,69,72,79,33,85,75,97,80,59,63,0,16,63,88,4,93,98,48,35,22,3,5,58,82,6,24,91,72,19,62,58,36,32,98,5,38,41,66,2,48,11,19,15,33,24,2,37,82,73,62,28,68,33,84,6,7,33,18,37,50,45,7,48,30,52,42,6,100,96,43,54,57,86,93,48,8,62,13,99,79,36,6,84,5,60,13,37,27,86,96,56,29,29,53,60,64,0,71,79,64,55,52,85,41,49,96,61,60,84,39,100,48,36,52,69,29,6,92,68,34,34,59,27,76,32,48,70,83,65,19,14,75,11,88,66,46,30,53,75,5,63,15,23,75,27,19,46,84,78,27,57,11,38,21,67,25,55,12,81,71,95,10,46,35,51,86,76,59,20,18,3,65,19,37,21,28,43,41,88,91,60,44,59,1,60,17,61,77,61,86,38,8,32,83,79,14,34,67,8,65,73,32,4,65,40,29,62,6,28,87,64,22,98,66,57,7,1,22,43,22,83,71,51,31,13,21,1,27,58,37,97,16,50,29,23,23,57,26,26,36,95,11,32,44,67,3,38,42,53,10,33,4,94,4,52,6,7,5,25,67,88,54,80,77,96,63,19,13,68,19,79,85,8,18,74,20,64,66,42,2,36,22,12,46,74,55,72,43,40,21,0,84,26,39,0,84,11,38,64,25,38,2,8,56,17,98,65,50,25,99,12,65,7,47,9,29,24,55,36,0,38,17,67,84,37,25,55,73,70,80,21,86,47,38,49,63,45,57,77,12,27,5,1,13,62,89,51,63,95,65,70,24,33,11,41,0,58,16,12,47,86,60,91,64,87,63,30,16,85,17,28,47,78,34,90,94,65,46,40,28,18,28,91,57,93,15,22,65,17,85,78,5,95,6,41,28,40,53,68,54,92,49,37,0,11,39,23,20,75,88,9,8,32,38,2,87,94,11,84,85,27,51,23,4,84,68,89,71,5,38,85,9,47,6,87,74,66,87,31,69,79,5,78,58,17,74,93,67,46,3,91,41,93,3,29,64,98,85,23905
LLGKRFRDJD,38,70,0,81,34,50,72,10,78,97,48,87,83,99,25,23,58,20,1,29,47,89,78,36,26,76,49,4,78,91,35,1,83,29,5,15,81,61,69,34,97,67,49,42,65,12,49,66,92,91,25,100,6,8,12,10,53,75,51,77,15,6,65,53,97,73,63,21,100,6,8,14,39,62,68,41,15,95,24,10,45,86,15,63,7,33,52,41,96,97,51,82,77,50,37,40,47,48,48,3,36,70,11,35,69,8,72,4,85,31,27,85,97,71,86,20,32,30,72,31,8,58,33,60,46,10,56,93,4,46,45,48,94,82,95,32,51,81,50,96,24,5,0,49,98,60,57,41,66,7,25,23,84,29,72,85,48,31,87,74,42,37,3,1,28,76,50,41,71,19,59,89,92,76,88,15,9,25,92,21,18,41,89,3,92,100,6,52,57,11,77,22,5,11,10,12,22,89,100,84,84,51,60,30,1,12,45,19,43,14,18,62,87,78,95,36,81,8,92,43,13,89,75,84,72,41,93,24,68,52,62,29,68,93,19,97,49,40,82,73,80,59,49,4,58,15,74,77,10,15,59,19,82,19,70,11,99,15,17,45,70,93,52,41,77,41,18,87,0,56,94,3,17,62,55,11,30,100,88,85,47,40,4,21,100,72,57,36,53,8,48,24,8,61,68,63,88,57,6,80,48,95,94,46,50,12,6,63,45,94,36,32,84,49,14,88,54,36,15,54,39,4,20,75,68,93,61,87,79,75,100,67,18,29,25,67,85,29,19,98,35,33,69,86,23,94,44,95,91,55,25,90,0,86,85,27,63,93,70,48,86,27,2,43,54,61,60,6,57,91,49,96,26,24,24,17,67,28,49,23,27,54,19,74,100,22,72,9,32,90,96,74,44,17,31,63,95,45,2,1,83,51,39,63,17,3,39,93,6,11,52,55,89,56,50,64,39,38,44,96,28,30,1,27,77,61,89,95,83,77,63,85,99,71,71,56,20,12,29,3,11,63,27,80,15,37,86,89,76,11,54,2,78,69,99,27,45,92,51,89,32,6,57,95,27,47,7,94,14,45,47,57,67,26,47,15,36,22,93,96,20,50,60,14,38,18,62,66,53,40,48,96,47,74,42,35,55,68,49,86,25209
VDDSWGKWFP,36,13,30,51,68,70,42,71,94,71,39,32,96,65,59,25,41,10,15,23,27,78,96,28,35,80,88,18,76,26,60,33,59,13,70,71,8,74,93,97,68,18,74,6,63,39,50,91,45,26,60,30,100,100,50,41,32,39,31,5,27,51,52,23,48,5,82,57,33,25,66,38,95,96,30,0,60,74,52,83,58,17,81,30,89,56,40,37,56,12,37,79,36,12,68,99,59,57,12,31,57,99,39,91,78,87,67,3,72,24,87,66,69,22,45,54,31,24,23,47,58,72,91,38,16,97,55,37,75,2,27,85,56,27,49,65,32,76,37,11,11,52,74,50,90,21,27,74,28,23,36,51,1,41,57,90,67,22,59,16,62,77,29,55,31,1,22,51,53,13,8,44,58,88,50,37,94,78,56,15,27,10,57,73,82,68,58,50,39,83,52,97,77,54,23,4,68,60,99,74,6,70,1,60,69,43,26,19,21,59,37,99,82,17,21,22,39,71,7,50,69,16,20,45,87,68,75,92,44,49,43,86,11,70,3,2,66,31,79,1,22,75,2,53,29,16,100,20,25,93,27,83,98,82,15,24,69,73,73,34,76,56,62,26,29,6,61,10,71,41,40,75,33,67,4,22,55,70,18,54,83,31,56,50,0,34,20,89,8,35,89,37,90,51,76,98,30,26,62,89,79,15,46,56,45,71,12,29,65,95,60,25,0,47,3,39,5,1,0,15,58,93,12,84,61,42,93,78,19,17,83,29,98,2,44,73,3,33,5,73,95,34,96,4,35,29,59,11,92,90,80,14,32,97,0,30,32,7,82,85,92,91,79,47,53,39,9,35,29,72,87,85,0,16,52,100,19,82,16,69,38,97,4,87,80,29,61,96,50,7,85,58,1,72,100,59,29,33,40,41,94,21,70,31,58,37,40,39,49,92,2,90,58,94,1,32,89,9,62,42,7,56,34,35,51,48,14,77,51,70,43,94,41,13,13,66,85,91,18,9,73,34,31,36,6,27,92,73,21,14,26,15,22,17,31,40,46,26,69,89,62,14,46,39,46,56,50,59,88,94,82,30,33,46,18,66,79,79,1,35,37,88,95,62,46,35,74,35,76,37,78,54,57,80,25,46,91,83,13,13,24502
SPLVILDLMK,78,53,37,40,87,79,51,66,18,90,14,54,97,50,61,77,28,49,9,43,48,59,58,8,31,74,76,89,44,82,83,36,47,98,63,59,57,35,100,24,49,21,41,25,100,15,61,27,72,53,89,97,5,92,72,76,99,11,33,96,71,11,65,24,37,91,90,32,44,66,5,46,60,17,8,84,3,21,44,0,35,94,77,4,30,100,25,92,41,45,96,85,63,13,95,45,87,72,63,71,93,29,2,64,42,61,91,88,99,2,21,73,17,89,86,54,3,73,1,78,23,38,57,74,49,81,62,38,35,34,37,90,46,39,38,36,46,23,88,50,82,54,0,40,84,27,16,2,50,88,0,36,61,77,30,5,22,4,26,45,12,53,12,45,16,62,37,37,91,38,50,61,35,53,5,3,60,39,16,62,62,61,48,6,48,17,91,5,25,40,33,16,84,21,94,47,92,97,39,72,1,72,35,39,73,35,47,77,29,92,58,21,49,3,34,43,28,34,73,91,96,1,12,25,91,93,13,13,16,38,57,50,84,28,86,11,90,92,98,68,18,79,84,21,57,80,83,41,39,50,68,88,82,83,84,68,45,32,84,54,79,50,38,78,88,100,21,19,92,78,33,13,97,39,100,62,65,59,49,40,97,77,54,19,41,90,48,29,73,1,17,46,82,39,58,89,22,77,29,92,85,10,1,73,10,70,68,98,2,45,30,34,51,59,91,81,97,69,9,98,52,4,33,18,6,74,64,80,48,1,34,82,6,84,77,43,79,23,31,54,49,5,28,100,27,14,14,3,80,10,67,46,16,19,64,24,73,71,19,26,100,17,54,57,83,64,64,79,1,43,49,96,5,88,45,30,16,67,6,100,13,42,58,52,12,97,60,69,82,33,0,70,3,27,49,18,26,92,15,10,85,63,98,55,69,89,97,79,56,61,57,32,95,55,15,35,66,76,74,88,80,28,14,57,27,17,61,1,71,7,10,42,6,22,89,75,50,70,79,6,18,72,33,31,14,88,83,73,64,1,23,33,76,25,5,62,35,97,55,2,28,3,58,27,73,39,84,41,46,52,59,61,95,54,48,2,66,63,76,1,74,29,47,4,32,81,14,53,68,14,99,48,49,84,12,55,19,18,20,19,25021
UIYVHVPMSL,40,48,29,65,38,16,24,68,86,59,73,71,56,17,57,27,88,64,4,89,47,21,25,31,27,69,71,13,53,56,22,0,21,95,5,89,14,93,71,53,15,0,66,1,20,25,9,2,49,76,26,53,90,82,79,92,6,59,78,18,9,94,39,76,21,32,81,2,54,44,86,24,30,94,69,3,43,85,21,23,99,19,26,76,66,52,10,53,63,37,45,23,41,63,43,79,6,26,21,75,99,8,65,38,68,29,80,52,45,90,20,73,28,8,90,81,69,39,83,54,59,76,76,53,65,48,52,19,30,21,30,55,34,64,61,22,52,13,94,50,69,30,13,85,66,6,87,2,30,0,48,53,62,29,24,54,5,60,94,5,79,40,78,11,91,72,64,4,90,70,64,98,85,36,75,50,53,25,62,18,76,96,10,87,91,97,100,74,85,80,72,0,52,10,97,87,26,11,18,56,82,86,36,73,54,48,73,42,78,64,40,69,3,18,17,62,65,5,28,59,15,12,62,2,18,55,73,2,40,19,21,12,57,27,83,41,74,92,40,45,84,63,8,25,40,81,50,81,80,31,74,39,4,46,74,14,47,63,56,23,3,54,6,60,30,21,5,41,94,95,27,14,80,63,53,36,6,49,26,14,3,51,86,85,5,27,73,93,63,59,55,57,54,72,10,48,64,48,2,3,99,20,1,23,7,86,98,77,60,75,0,26,73,4,48,59,70,51,15,62,71,11,14,47,53,60,80,59,79,49,67,54,98,49,88,25,37,82,72,78,75,14,35,71,79,6,24,82,38,83,13,23,78,92,73,24,60,12,3,49,87,57,2,45,68,45,83,15,71,29,13,25,83,14,70,32,89,53,70,21,39,94,11,91,88,6,56,26,50,99,29,42,86,17,64,45,10,74,75,1,10,57,78,1,59,20,100,76,24,55,91,67,74,56,32,12,22,93,35,96,20,35,34,68,51,11,59,69,40,39,93,43,21,16,37,81,30,49,68,22,85,25,88,52,45,56,7,30,79,68,47,10,31,87,98,49,11,36,49,84,44,79,32,67,59,10,89,30,45,74,37,80,62,34,80,1,76,80,92,77,54,47,4,36,5,66,70,15,67,97,29,95,68,95,38,23,87,91,6,0,24567
MSNCXGXGVZ,4,31,64,60,38,70,92,39,71,5,73,86,90,36,68,26,1,37,42,31,18,30,32,78,79,16,60,99,63,5,18,55,40,38,78,92,98,31,75,89,0,30,47,13,68,39,100,63,13,89,81,92,18,88,75,53,89,81,63,21,94,97,87,60,30,93,61,81,9,70,61,68,76,32,63,77,7,30,92,46,3,21,13,94,7,96,19,12,34,97,32,90,43,51,1,69,28,31,71,67,16,45,31,8,11,46,23,33,59,89,98,4,38,46,95,89,31,41,77,25,54,76,17,24,54,100,53,77,69,55,56,62,36,61,40,89,70,6,30,55,39,89,39,41,15,80,53,21,56,82,31,89,91,81,42,52,53,16,71,16,88,16,11,9,99,76,7,90,85,47,35,7,63,17,91,11,37,81,32,10,81,39,53,88,71,18,78,54,74,90,23,96,39,3,54,38,66,7,4,43,74,86,69,10,84,16,25,52,40,51,2,23,23,20,28,82,23,27,89,26,83,28,56,89,1,83,58,66,43,82,9,39,93,80,100,94,30,82,11,6,84,61,89,20,9,1,1,25,84,52,74,21,71,40,5,13,10,49,25,92,51,72,66,72,87,14,19,61,62,31,17,20,98,77,19,76,26,66,96,48,78,79,78,62,40,44,38,6,65,0,23,79,45,44,87,24,14,64,19,76,42,11,55,81,94,100,54,24,42,83,4,33,10,18,82,33,37,52,98,11,33,84,46,56,38,71,0,96,30,14,64,26,94,39,73,48,53,81,30,36,87,83,58,49,85,3,28,56,29,56,24,61,13,2,30,49,76,83,50,98,65,4,99,46,89,96,100,34,70,62,56,32,30,8,7,35,51,53,46,62,85,47,59,92,20,32,62,53,41,98,58,41,46,10,77,97,25,10,9,75,84,38,26,6,41,87,50,100,72,24,46,83,46,66,87,57,64,25,49,43,8,5,73,57,89,22,82,43,62,79,30,88,11,77,36,32,46,45,89,5,49,2,57,84,91,5,12,72,26,56,52,25,66,45,48,5,89,47,50,30,32,26,64,60,22,25,78,66,44,20,29,23,7,26,97,54,16,28,80,0,29,76,67,89,46,3,1,39,41,84,49,48,38,30,12,53,75,46,37,67,24912
BKITTHYFNQ,95,37,6,55,70,72,40,98,89,83,30,47,56,92,17,18,51,51,71,84,100,5,89,19,65,22,42,21,100,84,9,75,35,23,23,8,34,82,5,25,69,86,79,51,65,27,79,56,7,16,23,47,13,88,51,35,7,8,14,21,52,66,40,14,16,55,71,22,75,18,19,76,86,21,40,14,89,80,71,95,79,4,23,55,84,61,7,5,28,34,9,5,11,56,44,54,67,62,18,92,46,40,65,81,92,38,53,76,67,27,48,86,75,92,37,32,10,49,8,60,36,76,18,14,3,48,43,51,7,19,94,92,95,66,94,17,27,14,83,64,39,75,65,69,86,65,36,31,84,14,85,64,94,55,64,45,38,91,80,96,44,28,94,15,43,53,67,98,32,26,64,10,24,78,67,9,65,13,32,11,95,24,28,36,68,40,39,96,62,31,6,6,24,42,93,93,10,81,68,19,36,14,6,72,77,1,64,100,57,98,16,14,37,56,25,20,1,0,53,27,85,7,54,74,72,49,42,82,92,66,79,50,72,57,15,55,92,66,8,60,58,18,34,26,90,70,93,35,4,67,89,84,52,81,5,19,79,60,91,64,79,7,9,4,70,38,81,10,60,72,99,31,19,36,9,92,80,79,18,82,69,23,26,44,73,30,54,68,37,5,50,67,89,20,82,65,73,6,99,58,48,40,46,17,79,63,62,77,93,97,37,13,5,74,91,30,99,57,28,29,100,38,40,40,28,48,17,42,74,36,34,57,61,38,48,21,54,12,92,55,45,65,34,87,68,59,11,25,13,89,49,77,51,93,70,65,79,94,28,0,93,31,46,67,95,11,92,78,90,71,7,100,59,99,79,24,89,27,42,42,5,1,78,28,24,34,70,81,12,97,94,58,86,97,30,5,30,91,88,63,67,10,77,6,72,64,23,62,55,95,71,5,33,70,57,13,49,62,63,19,23,29,9,67,57,28,91,4,37,43,53,5,85,58,84,60,4,12,11,70,72,84,31,55,32,54,46,39,43,33,79,37,32,81,85,69,28,99,36,2,100,70,3,91,35,55,59,85,60,36,55,100,2,5,52,92,62,76,100,33,31,17,6,99,65,42,7,77,57,91,87,75,25,69,70,4,96,35,21,29,25374
XJCRPIDXXI,84,94,64,19,37,89,86,28,39,75,20,59,67,74,0,27,26,48,11,82,72,56,36,64,66,4,36,13,19,47,52,64,50,20,100,3,96,71,51,34,90,34,42,50,89,60,30,86,41,78,10,59,87,22,85,50,6,24,8,41,95,14,90,48,13,90,51,52,57,16,96,22,33,93,27,78,10,61,30,51,74,59,12,18,33,84,34,93,90,50,37,16,29,34,44,94,10,30,24,18,13,29,50,86,28,90,35,78,7,4,96,2,30,36,10,90,54,46,87,24,28,72,79,13,79,34,87,17,9,17,47,49,28,98,67,79,50,61,18,66,49,63,50,83,24,52,18,38,36,64,85,92,59,3,37,51,95,59,52,30,75,23,89,48,48,84,57,21,6,55,88,48,26,98,52,82,28,2,63,18,39,77,29,55,69,73,86,55,46,44,97,34,43,69,96,71,36,94,28,76,75,25,47,83,79,74,76,25,84,85,40,6,96,17,27,8,5,90,11,3,16,35,32,25,1,88,19,19,96,58,20,63,4,32,11,56,4,38,0,31,3,73,83,17,19,38,20,93,80,5,65,90,80,51,38,36,35,86,0,41,18,51,59,17,28,3,59,28,12,17,85,48,99,11,25,92,37,14,32,48,82,90,64,85,29,87,10,53,61,43,82,44,100,4,71,94,57,83,32,9,41,71,41,67,50,68,91,97,5,74,69,62,98,35,37,73,71,54,22,6,91,93,31,17,83,0,42,6,77,97,32,25,2,98,75,24,56,49,32,72,32,33,60,1,30,94,53,77,73,25,33,6,58,94,70,80,46,40,75,19,44,31,6,46,27,99,52,84,72,43,31,2,66,89,16,63,15,17,42,30,46,3,76,80,47,24,19,20,38,55,43,74,53,84,55,20,14,19,94,45,29,36,90,70,2,95,29,93,18,77,22,29,27,62,50,20,85,48,37,52,1,80,54,4,43,24,36,92,10,92,94,19,55,1,62,59,37,63,67,16,98,46,3,82,27,37,58,65,17,11,1,63,90,80,25,66,63,29,76,98,97,92,15,92,52,88,93,72,6,53,97,54,89,58,43,85,29,84,93,47,7,21,4,18,68,96,31,23,61,18,26,94,9,93,43,6,3,2,27,81,24468
DFHNCCSOXQ,36,85,39,97,13,30,16,96,9,19,95,46,7,57,40,75,9,58,4,67,32,39,41,33,17,60,66,62,74,52,51,24,16,87,6,18,49,4,38,70,74,29,5,61,64,31,40,2,99,95,38,34,84,23,74,71,88,35,6,0,18,26,96,34,73,27,48,93,54,43,47,65,51,77,98,95,64,38,11,89,30,30,14,0,92,50,95,33,77,96,66,47,67,71,85,87,78,14,92,29,24,37,48,42,36,74,78,34,86,1,86,61,46,93,38,56,95,100,91,17,91,15,85,99,1,94,95,48,32,89,42,65,10,50,95,25,29,91,63,90,96,80,27,23,68,35,35,4,79,63,71,62,13,54,95,64,58,4,17,13,91,86,16,5,67,47,44,65,66,83,24,58,29,72,21,66,54,53,39,57,69,1,92,12,68,21,15,98,11,43,96,3,46,23,13,47,47,15,3,43,2,17,58,31,6,98,57,8,57,13,97,27,59,66,97,43,27,9,0,18,39,53,62,39,64,49,32,48,39,91,20,96,98,47,15,22,69,31,72,56,77,47,4,18,20,84,4,73,69,89,51,28,5,34,52,8,55,66,94,94,60,46,46,6,3,58,42,58,26,52,30,10,89,33,78,2,27,53,5,88,66,62,38,73,25,72,10,32,27,79,99,67,50,82,23,98,79,65,93,8,17,60,84,49,31,80,89,50,69,0,55,43,5,57,1,9,15,54,4,57,100,45,25,59,100,97,30,0,69,90,79,63,28,64,88,25,42,95,48,59,26,94,44,19,73,78,46,41,0,22,74,89,27,63,82,32,87,27,63,39,12,24,15,74,0,34,50,96,4,16,61,40,78,95,29,92,78,44,73,2,66,34,65,43,19,57,74,69,91,87,2,93,53,77,92,44,19,46,36,73,18,6,98,58,45,76,57,81,17,28,69,15,97,4,0,52,59,29,27,69,35,40,94,69,99,68,23,9,51,100,58,100,54,52,20,90,67,19,27,75,76,72,69,65,9,91,82,94,42,84,15,40,65,52,14,82,30,44,97,2,76,88,27,67,36,68,40,29,84,3,7,86,88,9,38,8,37,78,20,44,76,47,9,9,88,19,77,60,65,65,97,5,4,27,57,23,63,7,17,71,24993
